stock_id,date,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity,F_INST_01_foreign_rank,F_INST_02_trust_rank,F_INST_03_dealer_self_rank,F_INST_04_dealer_hedge_rank,F_INST_05_aggregate_rank,F_INST_06_value_proxy_rank,F_INST_09_change_rate_rank,version,build_date
1101,2024-09-24,37687,-4643,7716,14000,54760,1766010.0,0.008017807849925847,1,-0.8870938776469589,0.2024,0.15839999999999999,0.0264,0.54,0.4,0.42,0.46,0.44,0.44,0.18,v0.1,2026-07-11T07:49:09Z
1101,2024-09-25,6989400,-12260,390000,64000,7431140,243369835.0,0.5193071925451506,2,7.467447629948403,0.34040000000000004,0.26639999999999997,0.044399999999999995,0.76,0.34,0.68,0.58,0.74,0.64,0.84,v0.1,2026-07-11T07:49:09Z
1101,2024-09-26,679343,40508,193000,-37000,875851,28552742.6,0.0877664782038561,3,-0.07997824975896524,0.2852,0.1984,0.0372,0.66,0.44,0.62,0.2,0.62,0.54,0.44,v0.1,2026-07-11T07:49:09Z
1101,2024-09-27,13567484,98741,149999,436546,14252770,474617240.99999994,0.5316506992943998,4,8.664739406198539,0.4224,0.3072,0.0576,0.96,0.62,0.64,0.9,0.96,0.74,0.86,v0.1,2026-07-11T07:49:09Z
1101,2024-09-30,16241215,362113,38995,733755,17376078,587311436.4,0.4205745929356759,5,6.581410792292267,0.6859999999999999,0.3528,0.0588,0.98,0.84,0.8,0.98,0.98,0.98,0.98,v0.1,2026-07-11T07:49:09Z
1101,2024-10-01,1636940,628828,-169000,-958580,1138188,38356935.6,0.07189198882232645,6,-0.5238264973141222,0.5624,0.2736,0.0608,0.88,0.72,0.24,0.02,0.76,0.52,0.34,v0.1,2026-07-11T07:49:09Z
1101,2024-10-04,2594054,358351,-288000,-280048,2384357,80591266.6,0.1346145887832364,7,-0.1394707599204996,0.7912,0.36800000000000005,0.0552,0.94,0.68,0.28,0.1,0.92,0.84,0.74,v0.1,2026-07-11T07:49:09Z
1101,2024-10-07,-2004934,871207,350000,61949,-721778,-24179563.0,-0.05471611492523419,-1,-1.2562688591518083,0.2432,0.1444,0.0228,0.32,0.78,0.8,0.5,0.38,0.62,0.42,v0.1,2026-07-11T07:49:09Z
1101,2024-10-08,-94259,577317,-202000,14781,295839,9777478.95,0.02078028316462642,1,-0.9002065886441063,0.5376,0.336,0.05039999999999999,0.8,0.76,0.3,0.6,0.84,0.76,0.6,v0.1,2026-07-11T07:49:09Z
1101,2024-10-09,-743502,-38447,-80000,-144855,-1006804,-32670789.800000004,-0.08834104632656961,-1,-1.359209779443824,0.1836,0.1292,0.0204,0.36,0.26,0.52,0.2,0.34,0.5,0.36,v0.1,2026-07-11T07:49:09Z
1101,2024-10-11,-1066117,134182,-31000,379104,-583831,-18974507.5,-0.06181231757308802,-2,-1.2152999081317828,0.12880000000000003,0.1008,0.016800000000000002,0.3,0.68,0.28,0.88,0.28,0.52,0.36,v0.1,2026-07-11T07:49:09Z
1101,2024-10-14,1820866,360180,-114000,60000,2127046,69235347.3,0.3510549244662331,1,-0.236048891526245,0.3864,0.3312,0.0552,0.94,0.66,0.04,0.56,0.92,0.62,0.48,v0.1,2026-07-11T07:49:09Z
1101,2024-10-15,114000,67692,85000,-24984,241708,7855510.0,0.029829909733262543,2,-0.91621380461699,0.21,0.1512,0.0336,0.42,0.58,0.52,0.22,0.42,0.36,0.22,v0.1,2026-07-11T07:49:09Z
1101,2024-10-16,-2745943,-104300,521069,166694,-2162480,-69523732.0,-0.20723043000735877,-1,-1.8164731176429902,0.1144,0.0936,0.020800000000000003,0.32,0.32,0.78,0.62,0.26,0.58,0.42,v0.1,2026-07-11T07:49:09Z
1101,2024-10-17,1267800,1115000,295700,248493,2926993,95127272.5,0.391047672258782,1,0.13787119030183106,0.2992,0.2584,0.054400000000000004,0.62,0.9,0.66,0.62,0.68,0.5,0.42,v0.1,2026-07-11T07:49:09Z
1101,2024-10-18,3228178,443110,409000,38467,4118755,134889226.25,0.39606235405811124,2,0.5725222219789338,0.2856,0.2584,0.054400000000000004,0.7,0.9,0.76,0.6,0.68,0.48,0.48,v0.1,2026-07-11T07:49:09Z
1101,2024-10-21,-3509879,705766,38000,-70576,-2836689,-91625054.69999999,-0.3079203361725463,-1,-2.1522353206155853,0.0704,0.0704,0.022000000000000002,0.24,0.82,0.48,0.24,0.22,0.34,0.24,v0.1,2026-07-11T07:49:09Z
1101,2024-10-22,-1861147,526346,-14521,-88613,-1437935,-46229610.25,-0.18249080239045837,-2,-1.61199411165252,0.064,0.06,0.020000000000000004,0.18,0.72,0.46,0.18,0.2,0.28,0.3,v0.1,2026-07-11T07:49:09Z
1101,2024-10-23,-368478,315148,-354120,-104839,-512289,-16495705.8,-0.05434041014896572,-3,-1.2339099018886017,0.1824,0.1536,0.0576,0.52,0.92,0.26,0.16,0.48,0.68,0.46,v0.1,2026-07-11T07:49:09Z
1101,2024-10-24,-2276020,352179,-85321,-4412,-2013574,-64434368.0,-0.26361974377128783,-4,-1.9600309716016968,0.06160000000000001,0.044800000000000006,0.014000000000000002,0.12,0.76,0.6,0.52,0.14,0.34,0.18,v0.1,2026-07-11T07:49:09Z
